 ,Label,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,HG13B,1401.117,96.82,60.69,18.136,254.759,852.284,1227.802,0,0,1091.675,428.064,884.325,849.721,688.235,0,0,38.996,0.015,1091.675,135655.619,81.806,0,0,0,82587.141,1,334,1226,38.996,0,0,0,NaN,1091.675
2,HG13B,574.901,34.895,12.312,17.347,95.368,1408.511,685.672,0,0,446.817,1261.124,517.779,296.057,337.069,0,0,-48.721,0.036,446.817,20061.155,32.296,0,0,0,12213.231,1,984,404,131.279,0,0,0,NaN,446.817
3,HG13B,665.243,50.4,20.239,22.278,108.438,1734.045,1414.92,0,0,517.633,1586.658,1202.169,296.057,426.783,0,0,55.287,0.031,517.633,33528.256,46.271,0,0,0,20412.002,1,1238,1270,55.287,0,0,0,NaN,517.633
4,HG13B,287.451,26.902,9.22,16.04,72.931,666.448,613.901,0,0,223.239,574.17,551.101,185.836,126.881,0,0,34.237,0.072,223.239,7732.919,24.983,0,0,0,4707.801,1,448,528,34.237,1.42E-14,0,0,NaN,223.239
5,HG13B,395.861,80.846,36.93,31.239,190.5,310.154,190.963,0,0,307.516,192.245,92.277,237.102,198.653,0,0,39.928,0.053,307.516,32003.935,70.798,0,0,0,19483.996,1,150,226,39.928,0,0,0,NaN,307.516
6,HG13B,318.66,72.543,28.017,29.998,159.557,966.349,234.538,0,0,246.726,853.566,184.555,226.849,101.249,0,0,23.902,0.066,246.726,23116.608,72.261,0,0,0,14073.391,1,666,222,23.902,0,0,0,NaN,246.726
7,HG13B,121.551,69.678,20.138,42.023,112.193,1290.601,407.558,0,0,93.304,1253.434,379.362,75.616,57.673,0,0,-37.185,0.175,93.304,8469.408,65.201,0,0,0,5156.176,1,978,296,142.815,7.11E-15,0,0,NaN,93.304
8,HG13B,203.679,60.747,15.725,38.461,121.288,1942.951,357.575,0,0,157.113,1873.743,320.408,139.698,75.616,0,0,-28.237,0.104,157.113,12372.989,58.007,0,0,0,7532.676,1,1462,250,151.763,0,0,0,NaN,157.113
9,HG13B,88.699,79.049,20.876,38.95,122.38,2062.143,269.142,0,0,67.672,2035.229,248.636,55.11,42.294,0,0,-37.304,0.243,67.672,7011.607,74.343,0,0,0,4268.667,1,1588,194,142.696,0,0,0,NaN,67.672
10,HG13B,266.097,23.32,3.495,17.095,33.667,264.016,46.139,0,0,206.338,171.738,0,185.836,93.559,0,0,26.565,0.079,206.338,6205.402,23.085,0,0,0,3777.849,1,134,72,26.565,0,0,0,NaN,206.338
11,HG13B,280.88,64.357,49.521,24.841,208.67,275.55,1909.629,0,0,217.877,179.428,1858.364,193.526,103.812,0,0,28.072,0.074,217.877,18076.589,46.667,0,0,0,11005.028,1,140,1530,28.072,0,0,0,NaN,217.877
12,HG13B,257.884,79.321,25.786,31.667,143,976.602,1604.601,0,0,199.934,876.635,1604.601,201.216,1.282,0,0,0,0.081,199.934,20455.541,75.667,0,0,0,12453.333,1,684,1252,0,0,0,0,NaN,199.934
13,HG13B,160.972,66.128,22.508,30.47,112.99,1120.145,1748.143,0,0,123.994,1089.386,1694.315,62.8,108.939,0,0,-60.255,0.132,123.994,10644.806,65.313,0,0,0,6480.558,1,850,1322,119.745,7.11E-15,0,0,NaN,123.994
14,HG13B,285.808,34.379,17.264,16.519,112.171,1170.128,1594.348,0,0,222,1112.455,1499.507,116.628,190.963,0,0,-58.696,0.073,222,9825.864,28.711,0,0,0,5981.986,1,868,1170,121.304,0,0,0,NaN,222
15,HG13B,686.597,49.984,21.393,22.537,120.115,1746.862,1418.764,0,0,534.008,1594.348,1199.606,306.31,439.599,0,0,55.166,0.03,534.008,34319.088,43.806,0,0,0,20893.461,1,1244,1278,55.166,2.84E-14,0,0,NaN,534.008
16,HG13B,244.744,50.249,11.288,34.333,87.243,1689.188,1789.156,0,0,189.057,1627.67,1717.384,124.318,144.824,0,0,49.399,0.086,189.057,12298.022,47.735,0,0,0,7487.036,1,1270,1452,49.399,1.42E-14,0,0,NaN,189.057
17,HG13B,142.904,111.271,41.103,43.713,224.169,1967.302,1781.466,0,0,110.696,1930.135,1740.454,75.616,83.306,0,0,-47.816,0.147,110.696,15901.125,103.065,0,0,0,9680.605,1,1506,1358,132.184,7.11E-15,0,0,NaN,110.696
18,HG13B,225.033,64.937,29.928,25.916,156.56,1672.527,1790.437,0,0,174.038,1609.727,1730.201,126.881,121.755,0,0,43.807,0.093,174.038,14612.862,56.181,0,0,0,8896.31,1,1256,1444,43.807,0,0,0,NaN,174.038
19,HG13B,144.547,64.587,15.092,40.333,115.142,2146.73,1244.463,0,0,111.671,2117.253,1197.042,60.237,96.122,0,0,-121.866,0.146,111.671,9335.837,62.688,0,0,0,5683.658,1,1652,1008,58.134,0,0,0,NaN,111.671
20,HG13B,157.687,34.82,6.969,28.783,70.333,2265.922,784.358,0,0,121.856,2209.53,761.288,114.065,47.42,0,0,-22.249,0.133,121.856,5490.601,31.876,0,0,0,3342.678,1,1724,594,157.751,0,0,0,NaN,121.856
21,HG13B,144.547,43.06,9.592,28.575,66.549,2332.567,702.333,0,0,110.904,2286.428,671.574,93.559,62.8,0,0,33.69,0.148,110.904,6224.118,40.282,0,0,0,3789.243,1,1784,572,33.69,0,0,0,NaN,110.904
22,HG13B,202.037,55.994,16.449,32,94.027,1605.882,71.771,0,0,156.107,1537.956,33.322,137.134,78.179,0,0,-29.511,0.104,156.107,11312.88,52.965,0,0,0,6887.282,1,1200,26,150.489,0,0,0,NaN,156.107
23,HG13B,190.539,25.068,3.372,18.988,34.921,249.918,46.139,0,0,147.716,192.245,0,116.628,93.559,0,0,38.66,0.11,147.716,4776.365,25.355,0,0,0,2907.851,1,150,72,38.66,1.42E-14,0,0,NaN,147.716
24,HG13B,714.52,52.721,17.069,21.65,91.67,1803.253,824.088,0,0,556.706,1561.025,686.954,485.738,275.55,0,0,29.516,0.029,556.706,37670.449,50.534,0,0,0,22933.77,1,1218,750,29.516,5.68E-14,0,0,NaN,556.706
25,HG13B,413.929,55.891,22.698,24.033,122.551,1835.294,1543.083,0,0,321.053,1709.694,1443.115,252.481,201.216,0,0,-38.517,0.05,321.053,23134.901,48.538,0,0,0,14084.527,1,1334,1126,141.483,2.84E-14,0,0,NaN,321.053
26,HG13B,251.314,59.345,19.235,37.446,129.638,2133.914,1652.021,0,0,194.301,2083.93,1568.715,101.249,167.894,0,0,-59.036,0.084,194.301,14914.261,54.531,0,0,0,9079.802,1,1626,1224,120.964,0,0,0,NaN,194.301
27,HG13B,238.173,70.825,13.73,49.222,103.938,562.636,356.293,0,0,184.786,525.468,271.706,75.616,170.457,0,0,-66.28,0.088,184.786,16868.546,72.444,0,0,0,10269.571,1,410,212,113.72,1.42E-14,0,0,NaN,184.786
28,HG13B,386.005,45.015,7.798,30.075,65,756.162,149.951,0,0,299.419,702.333,10.253,108.939,280.677,0,0,-68.927,0.054,299.419,17375.918,44.125,0,0,0,10578.459,1,548,8,111.073,1.42E-14,0,0,NaN,299.419
29,HG13B,177.398,78.018,10.552,57.074,98.75,553.664,1432.862,0,0,136.504,515.215,1376.471,78.179,114.065,0,0,55.713,0.12,136.504,13840.245,79.156,0,0,0,8425.941,1,402,1162,55.713,0,0,0,NaN,136.504
30,HG13B,128.121,83.119,25.851,45.456,136.252,736.937,1781.466,0,0,98.644,692.08,1760.96,90.996,42.294,0,0,-24.567,0.165,98.644,10649.272,76.614,0,0,0,6483.277,1,540,1374,155.433,0,0,0,NaN,98.644
31,HG13B,113.338,33.402,5.978,25.471,53.841,736.937,1690.47,0,0,87.677,725.403,1648.176,24.351,85.869,0,0,-105.255,0.185,87.677,3785.76,31.833,0,0,0,2304.771,1,566,1352,74.745,0,0,0,NaN,87.677
32,HG13B,123.193,71.33,10.26,49.667,97,484.456,1839.139,0,0,94.563,458.824,1799.409,52.547,80.743,0,0,-57.171,0.173,94.563,8787.366,71.818,0,0,0,5349.749,1,358,1404,122.829,7.11E-15,0,0,NaN,94.563
33,HG13B,96.912,36.774,7.217,27,52.333,1167.565,1817.351,0,0,74.335,1130.398,1817.351,75.616,1.282,0,0,0,0.22,74.335,3563.841,35,0,0,0,2169.667,1,882,1418,0,0,0,0,NaN,74.335
34,HG13B,157.687,48.563,12.054,28.176,81.43,1773.776,1922.445,0,0,121.532,1719.948,1894.249,108.939,57.673,0,0,27.646,0.134,121.532,7657.689,47.765,0,0,0,4662.001,1,1342,1522,27.646,7.11E-15,0,0,NaN,121.532
35,HG13B,243.101,63.053,27.025,35.173,144.053,2132.632,1634.078,0,0,188.657,2076.241,1558.462,114.065,152.514,0,0,-53.286,0.086,188.657,15328.371,53.426,0,0,0,9331.912,1,1620,1216,126.714,0,0,0,NaN,188.657
36,HG13B,108.41,65.759,23.05,34.933,118.099,2392.803,1295.728,0,0,83.69,2360.763,1268.814,65.363,55.11,0,0,-40.03,0.195,83.69,7128.939,60.481,0,0,0,4340.098,1,1842,990,139.97,0,0,0,NaN,83.69
37,HG13B,2058.147,42.543,14.074,11.157,109.409,422.938,1004.798,0,0,1605.018,53.828,292.212,739.501,1426.454,0,0,62.616,0.01,1605.018,87560.437,40.937,0,0,0,53306.794,1,42,1340,62.616,1.14E-13,0,0,NaN,1605.018
38,HG13B,492.773,21.664,10.031,8.254,56.267,845.876,1662.274,0,0,383.574,809.99,1473.875,73.053,378.081,0,0,-100.784,0.042,383.574,10675.221,20.632,0,0,0,6499.074,1,632,1444,79.216,0,0,0,NaN,383.574
39,HG13B,275.953,15.153,11.489,0,85.517,695.925,1941.67,0,0,214.488,592.113,1914.755,208.906,55.11,0,0,-14.534,0.075,214.488,4181.637,11.474,0,0,0,2545.781,1,462,1494,165.466,7.11E-15,0,0,NaN,214.488
