 ,Label,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,HG13B,643.89,137.211,69.055,15.339,245.063,249.918,126.881,0,0,501.05,2.563,87.151,495.991,80.743,0,0,9.125,0.032,501.05,88348.7,153.417,0,0,0,53786.689,1,2,130,9.125,0,0,0,NaN,501.05
2,HG13B,413.929,117.672,63.197,23.636,254.029,1177.818,703.615,0,0,321.482,1135.524,548.538,85.869,311.436,0,0,74.745,0.05,321.482,48708.052,107.326,0,0,0,29653.462,1,886,670,74.745,0,0,0,NaN,321.482
3,HG13B,1023.325,65.085,33.9,12.667,206.268,1340.585,497.272,0,0,796.609,1312.389,99.967,57.673,795.892,0,0,-94.059,0.02,796.609,66602.945,64.522,0,0,0,40547.873,1,1024,698,85.941,7.11E-15,0,0,NaN,796.609
4,HG13B,533.837,59.85,35.976,13.42,174.914,1863.49,656.195,0,0,415.533,1855.8,448.571,16.661,416.53,0,0,-92.121,0.039,415.533,31949.96,54.012,0,0,0,19451.136,1,1448,674,87.879,1.78E-15,0,0,NaN,415.533
5,HG13B,412.286,249.488,28.999,55.333,255,824.088,1262.406,0,0,320.5,820.243,1102.202,8.971,321.689,0,0,-91.375,0.05,320.5,102860.429,255,0,0,0,62621.429,1,640,1110,88.625,0,0,0,NaN,320.5
6,HG13B,364.652,169.791,93.464,27.23,255,611.338,1555.899,0,0,282.901,476.766,1512.323,270.424,88.432,0,0,17.942,0.057,282.901,61914.478,231.061,0,0,0,37693.534,1,372,1248,17.942,0,0,0,NaN,282.901
7,HG13B,137.976,227.567,28.075,144.434,254.797,589.55,1380.316,0,0,106.337,538.285,1366.218,103.812,29.477,0,0,15.376,0.153,106.337,31398.907,237.348,0,0,0,19115.655,1,420,1088,15.376,0,0,0,NaN,106.337
8,HG13B,1138.305,147.093,60.078,29.667,253.164,1368.781,1577.687,0,0,887.514,925.337,1561.025,888.17,34.604,0,0,2.152,0.018,887.514,167436.649,157.88,0,0,0,101935.432,1,722,1244,2.152,7.11E-15,0,0,NaN,887.514
9,HG13B,594.612,221.891,51.059,57.697,255,1932.698,1437.989,0,0,462.78,1914.755,1207.295,37.167,462.668,0,0,-85.553,0.035,462.78,131939.327,253.406,0,0,0,80324.662,1,1494,942,94.447,0,0,0,NaN,462.78
10,HG13B,998.686,212.444,41.84,109.187,255,1613.572,1828.886,0,0,778.193,1225.238,1804.535,777.949,49.984,0,0,3.588,0.021,778.193,212164.388,225.769,0,0,0,129165.68,1,956,1446,3.588,0,0,0,NaN,778.193
11,HG13B,675.099,189.172,83.163,25.453,255,2567.105,1704.568,0,0,525.168,2542.754,1443.115,49.984,524.187,0,0,-84.679,0.031,525.168,127709.654,245.811,0,0,0,77749.637,1,1984,1126,95.321,7.11E-15,0,0,NaN,525.168
12,HG13B,121.551,182.667,62.114,44,254.591,67.926,929.182,0,0,94.041,53.828,884.325,29.477,90.996,0,0,-107.447,0.173,94.041,22203.334,174.251,0,0,0,13517.39,1,42,760,72.553,0,0,0,NaN,94.041
13,HG13B,75.558,170.605,77.898,32.171,252.987,2254.387,710.023,0,0,57.602,2230.036,694.643,49.984,32.041,0,0,-32.276,0.286,57.602,12890.631,178.434,0,0,0,7847.816,1,1740,542,147.724,0,0,0,NaN,57.602
14,HG13B,114.98,126.579,87.262,22.404,254.043,2247.979,706.178,0,0,88.979,2214.657,676.701,67.926,60.237,0,0,-41.496,0.182,88.979,14554.137,121.95,0,0,0,8860.559,1,1728,528,138.504,0,0,0,NaN,88.979
15,HG13B,93.627,151.943,52.432,74.333,248.748,1951.923,102.53,0,0,72.182,1917.319,92.277,70.49,21.788,0,0,-16.504,0.226,72.182,14225.97,139.68,0,0,0,8660.77,1,1496,72,163.496,0,0,0,NaN,72.182
