 ,Label,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,HG13E,1485.036,72.339,45.592,14.123,248.333,1317.448,941.216,0,0,1163.098,999.883,454.028,636.405,975.651,0,0,-56.902,0.014,1163.098,107425.613,60.795,0,0,0,66045.267,1,784,356,123.098,0,0,0,NaN,1163.098
2,HG13E,922.251,145.447,47.265,50.155,244.045,1223.071,1479.419,0,0,722.305,923.361,1277.912,600.695,404.289,0,0,33.915,0.022,722.305,134138.556,144.406,0,0,0,82468.384,1,724,1318,33.915,0,0,0,NaN,722.305
3,HG13E,309.044,39.116,24.921,12.58,134.495,1302.143,1173.332,0,0,241.404,1288.114,1053.448,29.333,241.043,0,0,-83.326,0.067,241.404,12088.525,32.538,0,0,0,7432.025,1,1010,826,96.674,7.11E-15,0,0,NaN,241.404
4,HG13E,178.92,85.438,46.693,35.196,180.56,1396.52,1497.274,0,0,138.704,1359.535,1438.607,75.246,118.609,0,0,-57.771,0.117,138.704,15286.515,64.203,0,0,0,9398.149,1,1066,1128,122.229,0,0,0,NaN,138.704
5,HG13E,517.241,45.89,15.917,20.403,90.852,1876.056,1244.752,0,0,403.7,1675.824,1219.245,401.739,52.29,0,0,7.26,0.04,403.7,23736.342,43.356,0,0,0,14593.103,1,1314,996,7.26,7.11E-15,0,0,NaN,403.7
6,HG13E,388.744,48.278,28.542,11.073,117.336,1915.592,911.883,0,0,303.793,1854.375,772.869,123.71,279.304,0,0,-66.233,0.053,303.793,18767.635,43.975,0,0,0,11538.342,1,1454,606,113.767,0,0,0,NaN,303.793
7,HG13E,195.185,22.074,9.111,10.656,49.716,2071.186,811.129,0,0,152.191,2012.519,762.666,118.609,98.203,0,0,39.56,0.106,152.191,4308.484,20.325,0,0,0,2648.856,1,1578,674,39.56,1.42E-14,0,0,NaN,152.191
8,HG13E,141.509,28.715,16.191,11.122,81.587,2350.49,803.477,0,0,110.036,2310.954,765.216,80.348,77.797,0,0,-44.061,0.147,110.036,4063.455,24,0,0,0,2498.212,1,1812,600,135.939,0,0,0,NaN,110.036
9,HG13E,247.235,27.336,17.649,8.777,74.709,2471.649,465.507,0,0,192.592,2377.273,446.376,190.029,39.536,0,0,11.459,0.084,192.592,6758.525,19.947,0,0,0,4155.141,1,1864,380,11.459,0,0,0,NaN,192.592
10,HG13E,141.509,83.679,23.377,13.333,133.552,2435.939,1460.288,0,0,109.8,2407.881,1413.1,57.391,95.652,0,0,-59.265,0.148,109.8,11841.332,87.343,0,0,0,7280.051,1,1888,1108,120.735,7.11E-15,0,0,NaN,109.8
