 ,Label,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,HG13E,154.522,213.718,46.138,78.333,254.065,1164.404,108.406,0,0,119.911,1109.564,84.174,110.956,49.739,0,0,23.839,0.135,119.911,33024.032,237.121,0,0,0,20303.175,1,870,104,23.839,0,0,0,NaN,119.911
2,HG13E,226.09,76.574,29.063,32.95,162.706,1363.361,61.217,0,0,176.295,1288.114,15.304,151.768,93.101,0,0,31.39,0.091,176.295,17312.653,72.67,0,0,0,10643.819,1,1010,84,31.39,0,0,0,NaN,176.295
3,HG13E,237.476,102.77,33.881,41.891,177,1091.709,288.232,0,0,184.853,1010.086,244.869,164.522,88,0,0,27.979,0.087,184.853,24405.449,109.91,0,0,0,15004.47,1,792,260,27.979,0,0,0,NaN,184.853
4,HG13E,352.96,112.573,51.837,32.667,236.162,1286.839,303.536,0,0,275.064,1229.448,178.551,116.058,251.246,0,0,-65.336,0.059,275.064,39733.787,114.152,0,0,0,24428.332,1,964,140,114.664,0,0,0,NaN,275.064
5,HG13E,169.161,191.401,56.579,54,254.938,1356.984,513.97,0,0,131.678,1311.071,466.782,93.101,95.652,0,0,-134.215,0.123,131.678,32377.451,202.614,0,0,0,19905.657,1,1028,440,45.785,0,0,0,NaN,131.678
6,HG13E,263.5,147.12,58.826,44.393,254.146,1437.332,131.362,0,0,205.867,1351.882,73.971,172.174,116.058,0,0,33.887,0.078,205.867,38766.129,152.058,0,0,0,23833.416,1,1060,148,33.887,0,0,0,NaN,205.867
7,HG13E,195.185,91.71,50.593,42.667,229.005,1615.882,95.652,0,0,151.72,1581.447,28.058,70.145,136.464,0,0,-63.004,0.107,151.72,17900.517,65.627,0,0,0,11005.238,1,1240,22,116.996,7.11E-15,0,0,NaN,151.72
8,HG13E,265.127,172.469,32.528,116.667,237.445,2023.998,793.274,0,0,205.978,2009.969,691.246,29.333,205.333,0,0,-82.171,0.079,205.978,45726.273,163.855,0,0,0,28112.513,1,1576,542,97.829,0,0,0,NaN,205.978
9,HG13E,172.414,207.289,40.283,114.667,254.219,1874.78,937.39,0,0,133.639,1859.476,872.347,31.884,131.362,0,0,76.759,0.121,133.639,35739.437,215.461,0,0,0,21972.606,1,1458,786,76.759,0,0,0,NaN,133.639
10,HG13E,255.368,172.064,37.53,77.27,233.872,1580.172,1246.028,0,0,198.531,1512.578,1173.332,136.464,146.666,0,0,-47.083,0.081,198.531,43939.606,172.968,0,0,0,27014.07,1,1186,920,132.917,1.42E-14,0,0,NaN,198.531
11,HG13E,203.318,243.2,18.617,176.333,255,1566.143,1033.042,0,0,158.145,1487.071,1033.042,159.42,1.275,0,0,0,0.102,158.145,49446.975,253.667,0,0,0,30400,1,1166,810,0,0,0,0,NaN,158.145
12,HG13E,292.778,228.053,26.871,141.142,254.749,1966.606,1341.68,0,0,227.744,1935.998,1231.999,62.493,220.637,0,0,-74.407,0.071,227.744,66769.01,237.966,0,0,0,41049.587,1,1518,966,105.593,0,0,0,NaN,227.744
13,HG13E,310.67,92.751,31.072,47.799,169.037,1456.462,1864.578,0,0,241.714,1336.578,1849.273,241.043,31.884,0,0,7.275,0.067,241.714,28815.033,87.103,0,0,0,17715.482,1,1048,1474,7.275,0,0,0,NaN,241.714
